date,num_rentals,year,day_of_week,day_of_week_name,month,month_name,day_of_month,hour_of_day,is_weekend,is_weekday,maxtp,ind.1,mintp,igmin,ind.2,rain,cbl,wdsp,ind.3,hm,ind.4,ddhm,ind.5,hg,sun,dos
2023-01-01,1122.0,2022,5,Saturday,12,December,31,23,True,False,6.8,0,1.3,1,0,1.1,991.5,5.5,0,11,0,280,0,18,0.2,0
2023-01-02,1413.0,2022,5,Saturday,12,December,31,23,False,True,6.1,0,0.4,1,3,0.0,1002.6,6.2,0,14,0,160,0,20,6.8,0
2023-01-03,2555.0,2022,5,Saturday,12,December,31,23,False,True,13.3,0,5.6,1,0,1.5,996.3,12.5,0,19,0,240,0,35,0.0,0
2023-01-04,2757.0,2022,5,Saturday,12,December,31,23,False,True,12.6,0,8.8,0,0,0.1,998.7,13.7,0,21,0,260,0,34,0.5,0
2023-01-05,2811.0,2022,5,Saturday,12,December,31,23,False,True,12.6,0,6.7,0,0,2.7,1000.5,10.3,0,19,0,190,0,29,0.0,0
2023-01-06,2872.0,2022,5,Saturday,12,December,31,23,False,True,11.5,0,5.6,0,0,2.3,990.6,9.7,0,17,0,200,0,29,0.2,0
2023-01-07,1848.0,2022,5,Saturday,12,December,31,23,True,False,10.7,0,6.4,0,0,1.9,977.8,12.1,0,23,0,210,0,47,5.2,0
2023-01-08,1524.0,2022,5,Saturday,12,December,31,23,True,False,7.8,0,4.4,0,0,0.0,974.1,11.1,0,16,0,230,0,29,3.2,0
2023-01-09,2931.0,2022,5,Saturday,12,December,31,23,False,True,7.9,0,3.7,0,0,0.5,988.0,12.8,0,22,0,290,0,35,4.8,0
2023-01-10,2919.0,2022,5,Saturday,12,December,31,23,False,True,13.6,0,5.5,0,0,11.2,987.7,13.4,0,29,0,260,0,43,0.1,0
2023-01-11,2915.0,2022,5,Saturday,12,December,31,23,False,True,11.8,0,5.5,0,0,6.2,986.2,13.4,0,20,0,250,0,37,1.2,0
2023-01-12,2999.0,2022,5,Saturday,12,December,31,23,False,True,11.8,0,5.3,0,0,2.8,983.5,17.0,0,24,0,250,0,44,2.7,0
2023-01-13,2965.0,2022,5,Saturday,12,December,31,23,False,True,9.5,0,6.0,0,0,2.0,991.7,13.6,0,22,0,250,0,37,5.1,0
2023-01-14,1896.0,2022,5,Saturday,12,December,31,23,True,False,9.1,0,2.0,0,0,5.6,984.8,13.5,0,24,0,260,0,38,5.3,0
2023-01-15,1697.0,2022,5,Saturday,12,December,31,23,True,False,5.2,0,0.9,0,0,1.4,984.1,9.7,0,17,0,260,0,30,0.1,0
2023-01-16,3027.0,2022,5,Saturday,12,December,31,23,False,True,2.6,1,-2.9,1,3,0.0,981.2,8.7,0,14,0,320,0,20,6.2,0
2023-01-17,3212.0,2022,5,Saturday,12,December,31,23,False,True,2.0,1,-4.7,1,3,0.0,981.6,11.0,0,18,0,270,0,27,7.1,0
2023-01-18,3175.0,2022,5,Saturday,12,December,31,23,False,True,4.0,1,-0.5,1,3,0.0,991.0,13.5,0,19,0,290,0,25,3.8,0
2023-01-19,3203.0,2022,5,Saturday,12,December,31,23,False,True,4.2,1,-0.9,1,3,0.0,1000.9,8.2,0,12,0,270,0,15,6.7,0
2023-01-20,2971.0,2022,5,Saturday,12,December,31,23,False,True,7.0,1,-4.8,1,3,0.0,1010.9,5.9,0,11,0,150,0,17,6.9,0
2023-01-21,1924.0,2022,5,Saturday,12,December,31,23,True,False,9.3,0,5.9,1,0,0.2,1017.0,8.5,0,12,0,180,0,17,2.0,0
2023-01-22,1590.0,2022,5,Saturday,12,December,31,23,True,False,10.9,0,7.5,0,0,0.4,1018.3,5.9,0,11,0,180,0,17,0.0,0
2023-01-23,3266.0,2022,5,Saturday,12,December,31,23,False,True,11.9,0,6.8,0,0,0.2,1023.0,3.8,0,8,0,250,0,12,0.0,0
2023-01-24,3487.0,2022,5,Saturday,12,December,31,23,False,True,10.8,0,6.9,0,0,0.0,1026.3,5.5,0,10,0,250,0,16,5.6,0
2023-01-25,3502.0,2022,5,Saturday,12,December,31,23,False,True,10.0,0,2.5,0,0,0.4,1023.8,9.4,0,17,0,300,0,25,2.3,0
2023-01-26,3606.0,2022,5,Saturday,12,December,31,23,False,True,8.1,0,1.5,1,3,0.0,1026.2,8.1,0,14,0,290,0,17,3.7,0
2023-01-27,3270.0,2022,5,Saturday,12,December,31,23,False,True,7.2,1,-0.2,1,3,0.0,1023.8,5.1,0,8,0,300,0,11,3.6,0
2023-01-28,2139.0,2022,5,Saturday,12,December,31,23,True,False,6.4,0,3.4,0,0,0.2,1021.2,6.6,0,11,0,280,0,15,0.0,0
2023-01-29,1693.0,2022,5,Saturday,12,December,31,23,True,False,10.1,0,4.1,0,0,0.2,1014.3,10.4,0,22,0,290,0,30,0.7,0
2023-01-30,3368.0,2022,5,Saturday,12,December,31,23,False,True,8.8,0,4.3,0,2,0.0,1014.8,10.0,0,16,0,270,0,24,1.1,0
2023-01-31,3545.0,2022,5,Saturday,12,December,31,23,False,True,8.5,0,5.6,0,0,0.3,1012.4,15.8,0,25,0,270,0,38,7.0,0
2023-02-01,3572.0,2022,5,Saturday,12,December,31,23,False,True,9.8,0,5.6,0,2,0.0,1013.0,12.9,0,17,0,250,0,29,1.0,0
2023-02-02,3358.0,2022,5,Saturday,12,December,31,23,False,True,10.5,0,8.2,0,0,0.2,1013.3,12.0,0,19,0,250,0,31,0.3,0
2023-02-03,3183.0,2022,5,Saturday,12,December,31,23,False,True,12.2,0,7.8,0,2,0.0,1018.8,9.4,0,16,0,250,0,26,3.8,0
2023-02-04,1959.0,2022,5,Saturday,12,December,31,23,True,False,11.1,0,1.1,0,0,0.5,1028.6,8.2,0,24,0,310,0,32,0.3,0
2023-02-05,1777.0,2022,5,Saturday,12,December,31,23,True,False,9.7,1,-4.0,1,3,0.0,1034.1,4.1,0,9,0,270,0,17,7.8,0
2023-02-06,1623.0,2022,5,Saturday,12,December,31,23,False,True,9.4,1,-0.6,1,3,0.0,1028.7,5.4,0,14,0,190,0,20,3.6,0
2023-02-07,3374.0,2022,5,Saturday,12,December,31,23,False,True,9.9,0,3.4,1,3,0.0,1025.7,5.1,0,10,0,210,0,14,0.1,0
2023-02-08,3502.0,2022,5,Saturday,12,December,31,23,False,True,9.3,0,2.6,1,0,0.1,1019.0,8.4,0,17,0,220,0,29,0.1,0
2023-02-09,3603.0,2022,5,Saturday,12,December,31,23,False,True,8.2,0,1.1,1,3,0.0,1021.3,7.5,0,14,0,260,0,19,6.5,0
2023-02-10,3093.0,2022,5,Saturday,12,December,31,23,False,True,11.5,0,3.9,0,0,0.1,1022.8,9.7,0,16,0,250,0,25,0.1,0
2023-02-11,2321.0,2022,5,Saturday,12,December,31,23,True,False,10.4,0,7.4,0,0,0.3,1024.7,4.8,0,8,0,200,0,12,0.0,0
2023-02-12,1874.0,2022,5,Saturday,12,December,31,23,True,False,10.8,0,4.0,0,3,0.0,1023.1,7.5,0,14,0,150,0,22,1.8,0
2023-02-13,3160.0,2022,5,Saturday,12,December,31,23,False,True,11.0,0,2.5,1,3,0.0,1018.2,9.7,0,18,0,160,0,27,6.4,0
2023-02-14,3633.0,2022,5,Saturday,12,December,31,23,False,True,14.2,0,3.6,1,2,0.0,1012.6,10.7,0,17,0,150,0,25,1.0,0
2023-02-15,3394.0,2022,5,Saturday,12,December,31,23,False,True,10.5,0,5.4,0,0,7.8,1005.8,8.8,0,17,0,270,0,23,1.6,0
2023-02-16,3493.0,2022,5,Saturday,12,December,31,23,False,True,13.1,0,7.1,0,0,1.1,1003.5,10.0,0,17,0,240,0,32,0.7,0
2023-02-17,3238.0,2022,5,Saturday,12,December,31,23,False,True,12.7,0,9.4,0,0,2.0,1005.9,12.4,0,24,0,260,0,38,0.3,0
2023-02-18,2195.0,2022,5,Saturday,12,December,31,23,True,False,11.5,0,8.2,0,0,1.4,1009.7,15.5,0,24,0,270,0,41,1.4,0
2023-02-19,1597.0,2022,5,Saturday,12,December,31,23,True,False,12.0,0,6.7,0,2,0.0,1013.5,10.6,0,16,0,270,0,28,2.9,0
2023-02-20,3265.0,2022,5,Saturday,12,December,31,23,False,True,12.7,0,8.3,0,2,0.0,1009.4,10.6,0,20,0,260,0,28,1.0,0
2023-02-21,3640.0,2022,5,Saturday,12,December,31,23,False,True,11.9,0,7.3,0,0,0.4,1003.4,7.6,0,14,0,200,0,22,5.8,0
2023-02-22,3497.0,2022,5,Saturday,12,December,31,23,False,True,7.8,0,2.9,0,0,1.5,1005.5,13.5,0,19,0,330,0,27,3.7,0
2023-02-23,3664.0,2022,5,Saturday,12,December,31,23,False,True,8.8,1,-1.0,1,3,0.0,1013.5,8.7,0,12,0,320,0,17,6.7,0
2023-02-24,3234.0,2022,5,Saturday,12,December,31,23,False,True,11.1,0,1.6,0,2,0.0,1008.4,9.6,0,18,0,350,0,24,1.9,0
2023-02-25,2375.0,2022,5,Saturday,12,December,31,23,True,False,7.4,0,0.1,1,2,0.0,1012.9,9.5,0,15,0,70,0,22,3.6,0
2023-02-26,1762.0,2022,5,Saturday,12,December,31,23,True,False,8.1,0,3.0,0,2,0.0,1020.2,10.3,0,15,0,90,0,23,2.9,0
2023-02-27,3245.0,2022,5,Saturday,12,December,31,23,False,True,7.4,0,3.5,0,2,0.0,1025.2,9.0,0,14,0,90,0,19,1.8,0
2023-02-28,3500.0,2022,5,Saturday,12,December,31,23,False,True,6.8,0,4.6,0,0,0.8,1027.7,8.9,0,14,0,10,0,23,0.6,0
2023-03-01,3619.0,2022,5,Saturday,12,December,31,23,False,True,8.8,0,4.7,0,2,0.0,1023.9,11.9,0,17,0,50,0,24,3.8,0
2023-03-02,3520.0,2022,5,Saturday,12,December,31,23,False,True,8.0,0,3.4,0,0,1.1,1018.8,7.6,0,13,0,50,0,17,1.3,0
2023-03-03,3169.0,2022,5,Saturday,12,December,31,23,False,True,7.0,0,3.8,0,2,0.0,1021.6,5.5,0,12,0,40,0,19,0.4,0
2023-03-04,2173.0,2022,5,Saturday,12,December,31,23,True,False,5.0,0,3.0,0,0,0.0,1020.4,5.9,0,11,0,10,0,16,0.0,0
2023-03-05,1583.0,2022,5,Saturday,12,December,31,23,True,False,9.3,0,2.2,0,2,0.0,1009.7,9.1,0,14,0,260,0,19,2.5,0
2023-03-06,2719.0,2022,5,Saturday,12,December,31,23,False,True,6.7,0,1.5,0,0,3.5,997.6,8.5,0,13,0,280,0,18,0.1,0
2023-03-07,3673.0,2022,5,Saturday,12,December,31,23,False,True,5.5,1,-2.7,1,3,0.0,989.9,6.4,0,10,0,300,0,16,8.4,0
2023-03-08,3357.0,2022,5,Saturday,12,December,31,23,False,True,5.2,1,-1.7,1,0,0.1,983.5,14.5,0,20,0,80,0,28,2.4,0
2023-03-09,2290.0,2022,5,Saturday,12,December,31,23,False,True,3.3,0,0.7,0,0,30.2,978.9,17.5,0,30,0,50,0,40,0.0,0
2023-03-10,2837.0,2022,5,Saturday,12,December,31,23,False,True,5.9,1,-2.4,1,0,7.5,990.3,8.0,0,22,0,20,0,35,10.0,997
2023-03-11,1509.0,2022,5,Saturday,12,December,31,23,True,False,9.8,1,-1.7,1,0,9.9,993.3,9.8,0,16,0,140,0,27,0.0,0
2023-03-12,1826.0,2022,5,Saturday,12,December,31,23,True,False,12.6,0,7.6,0,0,2.7,982.8,10.2,0,17,0,210,0,28,1.2,0
2023-03-13,2983.0,2022,5,Saturday,12,December,31,23,False,True,13.3,0,2.3,0,0,5.3,974.7,12.8,0,20,0,270,0,34,0.7,0
2023-03-14,3478.0,2022,5,Saturday,12,December,31,23,False,True,6.8,0,0.0,1,0,1.0,993.4,10.3,0,23,0,270,0,33,6.8,0
2023-03-15,2907.0,2022,5,Saturday,12,December,31,23,False,True,10.7,0,0.0,1,0,10.8,996.2,7.0,0,17,0,160,0,26,0.0,0
2023-03-16,3251.0,2022,5,Saturday,12,December,31,23,False,True,15.0,0,9.0,0,0,1.2,986.2,11.2,0,17,0,200,0,26,5.0,0
2023-03-17,2025.0,2022,5,Saturday,12,December,31,23,False,True,11.4,0,6.0,0,0,2.5,987.5,6.9,0,12,0,140,0,19,1.0,0
2023-03-18,2016.0,2022,5,Saturday,12,December,31,23,True,False,11.1,0,3.7,0,0,1.4,996.5,9.5,0,21,0,310,0,27,2.9,0
2023-03-19,1574.0,2022,5,Saturday,12,December,31,23,True,False,10.9,0,1.6,0,0,2.3,1003.8,8.2,0,15,0,270,0,22,3.6,0
2023-03-20,3294.0,2022,5,Saturday,12,December,31,23,False,True,15.8,0,10.1,0,0,0.4,997.2,8.7,0,13,0,200,0,20,0.8,0
2023-03-21,3506.0,2022,5,Saturday,12,December,31,23,False,True,12.6,0,9.2,0,0,2.2,984.8,11.2,0,19,0,190,0,32,2.0,0
2023-03-22,3457.0,2022,5,Saturday,12,December,31,23,False,True,12.6,0,6.0,0,0,1.5,978.0,14.2,0,23,0,200,0,37,8.7,0
2023-03-23,3610.0,2022,5,Saturday,12,December,31,23,False,True,13.0,0,6.1,0,0,2.1,975.5,13.0,0,22,0,200,0,35,6.3,0
2023-03-24,3103.0,2022,5,Saturday,12,December,31,23,False,True,12.8,0,6.6,0,0,1.5,979.0,14.7,0,23,0,210,0,37,5.6,0
2023-03-25,2136.0,2022,5,Saturday,12,December,31,23,True,False,12.7,0,3.2,0,0,0.3,987.8,9.9,0,17,0,260,0,28,5.3,0
2023-03-26,1706.0,2022,5,Saturday,12,December,31,23,True,False,9.1,1,-1.2,1,0,0.6,1001.6,8.2,0,15,0,0,0,27,0.9,0
2023-03-27,3454.0,2022,5,Saturday,12,December,31,23,False,True,9.7,1,-4.3,1,2,0.0,1010.8,7.7,0,13,0,150,0,19,6.5,0
2023-03-28,3393.0,2022,5,Saturday,12,December,31,23,False,True,15.4,0,7.0,0,0,8.1,1000.8,8.0,0,13,0,170,0,26,2.3,0
2023-03-29,3633.0,2022,5,Saturday,12,December,31,23,False,True,16.2,0,9.6,0,0,3.8,990.0,10.5,0,18,0,200,0,31,2.7,0
2023-03-30,3669.0,2022,5,Saturday,12,December,31,23,False,True,15.7,0,7.4,0,0,5.6,981.2,9.2,0,16,0,190,0,24,4.9,0
2023-03-31,2821.0,2022,5,Saturday,12,December,31,23,False,True,11.2,0,8.4,0,0,13.4,982.9,8.5,0,16,0,90,0,23,0.0,0
2023-04-01,1737.0,2022,5,Saturday,12,December,31,23,True,False,11.4,0,7.2,0,0,12.2,1002.4,8.6,0,17,0,320,0,24,0.4,0
2023-04-02,1916.0,2022,5,Saturday,12,December,31,23,True,False,11.1,0,6.0,0,0,0.8,1016.3,6.8,0,11,0,310,0,16,6.2,0
2023-04-03,3309.0,2022,5,Saturday,12,December,31,23,False,True,10.6,0,5.1,0,0,0.0,1017.2,8.7,0,16,0,140,0,24,6.2,0
2023-04-04,3556.0,2022,5,Saturday,12,December,31,23,False,True,13.7,0,5.0,1,0,2.3,1011.8,7.0,0,15,0,200,0,23,4.1,0
2023-04-05,3501.0,2022,5,Saturday,12,December,31,23,False,True,14.7,0,8.3,0,0,0.9,1005.5,7.6,0,14,0,260,0,21,0.4,0
2023-04-06,3336.0,2022,5,Saturday,12,December,31,23,False,True,12.9,0,0.6,0,0,1.3,1006.6,9.2,0,16,0,280,0,24,7.2,0
2023-04-07,2823.0,2022,5,Saturday,12,December,31,23,False,True,13.1,1,-0.4,1,3,0.0,1010.7,6.6,0,13,0,140,0,20,9.6,0
2023-04-08,2383.0,2022,5,Saturday,12,December,31,23,True,False,12.6,0,4.8,0,0,0.0,1011.2,8.4,0,18,0,140,0,26,5.2,0
2023-04-09,1717.0,2022,5,Saturday,12,December,31,23,True,False,12.8,0,8.1,0,0,1.0,1002.1,12.8,0,20,0,150,0,28,0.2,0
2023-04-10,1544.0,2022,5,Saturday,12,December,31,23,False,True,10.8,0,4.7,0,0,5.0,995.1,10.8,0,25,0,290,0,35,4.4,0
2023-04-11,3042.0,2022,5,Saturday,12,December,31,23,False,True,9.9,0,2.9,0,0,9.5,987.2,10.8,0,23,0,270,0,34,0.4,0
2023-04-12,2878.0,2022,5,Saturday,12,December,31,23,False,True,7.5,0,2.1,0,0,5.0,977.5,15.6,0,29,0,300,0,42,0.7,0
2023-04-13,3592.0,2022,5,Saturday,12,December,31,23,False,True,11.7,0,2.9,0,0,0.6,988.7,11.8,0,22,0,270,0,32,10.9,0
2023-04-14,3210.0,2022,5,Saturday,12,December,31,23,False,True,13.1,1,-1.0,1,2,0.0,996.5,7.5,0,15,0,280,0,21,9.6,0
2023-04-15,2357.0,2022,5,Saturday,12,December,31,23,True,False,12.5,0,2.0,1,0,5.2,1007.3,6.3,0,11,0,140,0,15,6.3,0
2023-04-16,1917.0,2022,5,Saturday,12,December,31,23,True,False,17.6,0,3.8,0,0,1.2,1012.0,3.7,0,9,0,140,0,13,6.6,0
2023-04-17,3577.0,2022,5,Saturday,12,December,31,23,False,True,17.6,0,4.6,0,3,0.0,1016.8,6.2,0,13,0,130,0,19,6.6,0
2023-04-18,3812.0,2022,5,Saturday,12,December,31,23,False,True,11.6,0,8.4,0,3,0.0,1019.5,10.0,0,17,0,80,0,24,7.6,0
2023-04-19,3643.0,2022,5,Saturday,12,December,31,23,False,True,11.8,0,6.7,0,0,0.0,1017.2,16.3,0,21,0,80,0,29,1.9,0
2023-04-20,3648.0,2022,5,Saturday,12,December,31,23,False,True,11.9,0,5.3,0,0,0.0,1013.8,15.1,0,20,0,70,0,28,13.4,0
2023-04-21,3086.0,2022,5,Saturday,12,December,31,23,False,True,14.3,0,7.1,0,0,0.0,1005.3,15.3,0,24,0,50,0,33,6.0,0
2023-04-22,1706.0,2022,5,Saturday,12,December,31,23,True,False,9.0,0,4.5,0,0,5.0,995.4,6.0,0,11,0,60,0,19,0.2,0
2023-04-23,1867.0,2023,6,Sunday,1,January,1,0,True,False,12.4,0,4.4,0,0,3.5,994.7,5.0,0,15,0,320,0,21,5.3,0
2023-04-24,2903.0,2023,6,Sunday,1,January,1,0,False,True,9.2,1,-0.1,0,0,10.8,1003.0,8.0,0,14,0,40,0,26,1.7,0
2023-04-25,3435.0,2023,6,Sunday,1,January,1,0,False,True,10.8,1,-0.2,1,2,0.0,1008.3,6.1,0,11,0,130,0,19,6.9,0
2023-04-26,3697.0,2023,6,Sunday,1,January,1,0,False,True,12.0,0,4.9,0,0,0.0,1006.3,6.8,0,12,0,140,0,18,8.9,0
2023-04-27,3611.0,2023,6,Sunday,1,January,1,0,False,True,12.3,0,8.4,0,2,0.0,1001.0,8.2,0,14,0,150,0,21,0.3,0
2023-04-28,3174.0,2023,6,Sunday,1,January,1,0,False,True,17.3,0,8.1,0,0,0.3,1002.0,4.3,0,11,0,340,0,16,1.0,0
2023-04-29,2350.0,2023,6,Sunday,1,January,1,0,True,False,17.1,0,7.9,0,0,5.5,1008.0,4.2,0,10,0,150,0,15,4.9,0
